reach,km downstream,Cl (mg/L),access
SIM001,0.05,18.4,hard
SIM002,0.15,22.2,hard
SIM003,0.25,22.9,hard
SIM004,0.35,27.4,hard
SIM005,0.45,33.0,hard
SIM006,0.55,33.7,hard
SIM007,0.65,36.7,hard
SIM008,0.75,41.9,hard
SIM009,0.85,42.6,hard
SIM010,0.95,43.6,hard
SIM011,1.05,42.8,easy
SIM012,1.15,126.1,easy
SIM013,1.25,112.4,easy
SIM014,1.35,91.0,easy
SIM015,1.45,74.5,hard
SIM016,1.55,70.6,hard
SIM017,1.65,63.5,hard
SIM018,1.75,58.9,hard
SIM019,1.85,40.2,hard
SIM020,1.95,44.6,hard
SIM021,2.05,38.4,hard
SIM022,2.15,39.5,hard
SIM023,2.25,40.3,hard
SIM024,2.35,41.1,hard
SIM025,2.45,27.8,hard
SIM026,2.55,26.6,hard
SIM027,2.65,33.5,hard
SIM028,2.75,31.3,easy
SIM029,2.85,120.6,easy
SIM030,2.95,128.7,easy
SIM031,3.05,97.4,easy
SIM032,3.15,75.1,hard
SIM033,3.25,71.0,hard
SIM034,3.35,67.9,hard
SIM035,3.45,66.4,hard
SIM036,3.55,56.1,hard
SIM037,3.65,41.0,hard
SIM038,3.75,41.8,hard
SIM039,3.85,46.6,hard
SIM040,3.95,52.3,easy
SIM041,4.05,143.2,easy
SIM042,4.15,126.1,easy
SIM043,4.25,94.1,easy
SIM044,4.35,84.9,hard
SIM045,4.45,71.3,hard
SIM046,4.55,63.5,hard
SIM047,4.65,66.2,hard
SIM048,4.75,67.7,hard
SIM049,4.85,48.2,hard
SIM050,4.95,52.0,hard
SIM051,5.05,44.5,hard
SIM052,5.15,46.3,hard
SIM053,5.25,38.6,hard
SIM054,5.35,54.9,hard
SIM055,5.45,45.8,easy
SIM056,5.55,140.2,easy
SIM057,5.65,123.2,easy
SIM058,5.75,93.4,easy
SIM059,5.85,91.3,hard
SIM060,5.95,68.6,hard
SIM061,6.05,69.7,hard
SIM062,6.15,60.3,hard
SIM063,6.25,65.2,easy
SIM064,6.35,46.9,easy
SIM065,6.45,44.4,easy
SIM066,6.55,51.0,easy
SIM067,6.65,48.6,easy
SIM068,6.75,49.6,easy
SIM069,6.85,46.2,easy
