student_id,status,years_tracked,graduated
1,graduate,3.5,1
2,still_enrolled,6.0,0
3,drop_out,1.0,0
4,graduate,4.0,1
5,graduate,4.0,1
6,graduate,5.5,1
7,graduate,4.0,1
8,still_enrolled,6.0,0
9,drop_out,3.0,0
10,drop_out,2.0,0
11,graduate,4.0,1
12,still_enrolled,6.0,0
13,still_enrolled,6.0,0
14,graduate,5.5,1
15,graduate,4.5,1
16,graduate,4.5,1
17,graduate,5.0,1
18,graduate,4.5,1
19,graduate,4.0,1
20,graduate,4.0,1
21,drop_out,2.5,0
22,graduate,5.0,1
23,graduate,4.0,1
24,graduate,5.0,1
25,graduate,4.0,1
26,drop_out,1.5,0
27,graduate,4.0,1
28,graduate,4.0,1
29,graduate,5.5,1
30,graduate,4.0,1
31,drop_out,2.0,0
32,graduate,4.0,1
33,graduate,5.0,1
34,still_enrolled,6.0,0
35,still_enrolled,6.0,0
36,still_enrolled,6.0,0
37,graduate,5.0,1
38,graduate,3.5,1
39,drop_out,2.0,0
40,graduate,4.0,1
41,graduate,4.0,1
42,graduate,4.0,1
43,graduate,4.0,1
44,still_enrolled,6.0,0
45,graduate,5.5,1
46,drop_out,4.0,0
47,graduate,4.0,1
48,graduate,4.5,1
49,graduate,4.0,1
50,graduate,4.0,1
51,still_enrolled,6.0,0
52,drop_out,1.5,0
53,still_enrolled,6.0,0
54,still_enrolled,6.0,0
55,graduate,6.0,1
56,still_enrolled,6.0,0
57,graduate,4.0,1
58,graduate,4.0,1
59,graduate,4.0,1
60,graduate,4.0,1
61,graduate,3.5,1
62,graduate,4.5,1
63,still_enrolled,6.0,0
64,graduate,4.0,1
65,graduate,4.0,1
66,graduate,4.0,1
67,graduate,5.5,1
68,still_enrolled,6.0,0
69,graduate,4.0,1
70,still_enrolled,6.0,0
71,drop_out,1.5,0
72,graduate,4.0,1
73,graduate,4.0,1
74,still_enrolled,6.0,0
75,drop_out,4.0,0
76,drop_out,2.5,0
77,drop_out,2.0,0
78,graduate,4.0,1
79,graduate,4.0,1
80,graduate,5.0,1
81,still_enrolled,6.0,0
82,drop_out,3.0,0
83,graduate,4.5,1
84,graduate,4.5,1
85,graduate,4.0,1
86,graduate,4.0,1
87,drop_out,1.0,0
88,drop_out,1.0,0
89,still_enrolled,6.0,0
90,graduate,4.0,1
91,graduate,4.0,1
92,drop_out,3.0,0
93,drop_out,2.0,0
94,graduate,4.5,1
95,drop_out,2.0,0
96,graduate,4.0,1
97,graduate,4.5,1
98,graduate,5.0,1
99,graduate,4.0,1
100,graduate,4.0,1
