Section,Quiz1Group,Review,Passed
B,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Did not attend,No
B,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
B,Struggling,Attended,No
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Strong,Attended,Yes
B,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Did not attend,No
A,Struggling,Attended,No
B,Struggling,Attended,Yes
A,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
B,Strong,Attended,Yes
B,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Struggling,Did not attend,Yes
A,Struggling,Did not attend,No
A,Struggling,Did not attend,No
A,Strong,Did not attend,Yes
A,Struggling,Attended,Yes
B,Strong,Did not attend,No
B,Struggling,Attended,No
B,Strong,Did not attend,Yes
B,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Struggling,Did not attend,No
B,Struggling,Attended,Yes
B,Struggling,Attended,No
B,Strong,Did not attend,No
B,Struggling,Attended,No
B,Strong,Did not attend,Yes
A,Strong,Attended,Yes
A,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,No
B,Strong,Attended,Yes
A,Struggling,Attended,Yes
B,Struggling,Attended,No
A,Strong,Did not attend,No
A,Strong,Did not attend,Yes
B,Struggling,Attended,No
A,Strong,Attended,Yes
B,Struggling,Attended,Yes
B,Struggling,Did not attend,No
A,Struggling,Attended,No
A,Struggling,Did not attend,Yes
B,Struggling,Attended,No
B,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
A,Struggling,Attended,Yes
B,Struggling,Attended,Yes
A,Strong,Did not attend,No
B,Struggling,Did not attend,No
B,Struggling,Attended,No
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,No
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,No
A,Strong,Attended,No
A,Struggling,Did not attend,No
A,Struggling,Did not attend,No
B,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
A,Strong,Attended,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Strong,Attended,Yes
B,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
A,Strong,Attended,Yes
B,Struggling,Did not attend,No
A,Strong,Did not attend,No
B,Struggling,Attended,Yes
B,Struggling,Did not attend,Yes
B,Strong,Attended,Yes
A,Struggling,Attended,No
B,Strong,Did not attend,No
B,Strong,Attended,Yes
B,Struggling,Attended,Yes
A,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Strong,Did not attend,No
A,Struggling,Attended,Yes
B,Strong,Did not attend,Yes
B,Strong,Attended,Yes
A,Struggling,Attended,Yes
B,Strong,Did not attend,Yes
A,Struggling,Attended,No
B,Strong,Attended,No
B,Struggling,Did not attend,Yes
A,Struggling,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Strong,Did not attend,No
B,Strong,Did not attend,No
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Struggling,Attended,No
A,Strong,Did not attend,Yes
B,Strong,Attended,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
A,Struggling,Attended,Yes
A,Struggling,Attended,No
B,Strong,Did not attend,Yes
A,Struggling,Attended,No
A,Strong,Did not attend,Yes
B,Struggling,Attended,No
B,Struggling,Did not attend,No
A,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Struggling,Attended,Yes
A,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Struggling,Attended,No
A,Struggling,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,No
B,Struggling,Attended,No
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,No
A,Strong,Attended,Yes
A,Strong,Did not attend,Yes
B,Strong,Attended,Yes
B,Struggling,Did not attend,Yes
A,Struggling,Attended,Yes
B,Struggling,Attended,Yes
A,Strong,Attended,Yes
A,Struggling,Attended,Yes
A,Struggling,Attended,No
B,Struggling,Did not attend,No
A,Strong,Did not attend,Yes
A,Strong,Attended,Yes
A,Struggling,Attended,No
B,Struggling,Attended,No
A,Strong,Did not attend,Yes
A,Strong,Attended,Yes
A,Struggling,Attended,Yes
B,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,Yes
B,Strong,Did not attend,No
A,Struggling,Attended,Yes
B,Strong,Did not attend,Yes
B,Struggling,Attended,No
A,Strong,Attended,Yes
A,Strong,Did not attend,Yes
B,Strong,Did not attend,Yes
